Numéro du groupe;Femmes;Hommes;Enfants;WCHR;WCHB;Classe;TransitTime
1;1;1;1;;;Y;00:00:00
2;;1;;;;Y;01:00:00
3;1;1;;;;Y;02:45:00
4;;1;1;1;;Y;00:00:00
5;3;;;;;Y;00:00:00
6;1;1;;;;J;00:00:00
7;1;1;;;;J;01:25:00
8;;;1;;;Y;00:00:00
9;2;2;;;;Y;01:00:00
10;1;;;;;Y;00:00:00
11;1;;;;;Y;00:00:00
12;;2;;;;Y;00:00:00
13;;1;;;;Y;00:00:00
14;;3;;;;Y;00:00:00
15;2;;;;;Y;00:00:00
16;1;;;;;Y;01:00:00
17;1;;;;;Y;00:00:00
18;;1;1;;;Y;00:00:00
19;;1;;;;Y;00:00:00
20;1;1;;;;Y;00:00:00
21;;1;;;;Y;00:00:00
22;;1;;;;Y;00:00:00
23;2;1;;;;Y;00:00:00
24;1;1;;;;Y;00:00:00
25;1;;;;;Y;01:00:00
26;2;;;;;Y;00:00:00
27;;1;;;;J;00:00:00
28;;1;;;;J;00:00:00
29;;1;;;;Y;01:25:00
30;1;1;;;;Y;01:25:00
31;1;2;1;;;Y;00:00:00
32;;5;;;;Y;00:00:00
33;;4;;;;Y;00:00:00
34;1;1;;;;Y;01:25:00
35;1;1;;;;Y;00:00:00
36;2;;;;;Y;01:00:00
37;;1;;;;Y;00:00:00
38;;1;;;;Y;00:00:00
39;1;;;1;;Y;00:00:00
40;1;;;;1;Y;00:00:00
41;;1;;;;Y;00:00:00
42;;1;;;;Y;02:45:00
43;5;;;;;Y;00:00:00
44;2;;;;;Y;01:25:00
45;;1;;;;Y;01:25:00
46;1;1;1;;;Y;00:00:00
47;1;;;;;J;00:00:00
48;1;;;;;J;00:00:00
49;;;;1;;Y;00:00:00
50;1;;;;;J;00:00:00
51;;1;;;;J;00:00:00
52;1;;;;;J;00:00:00
53;1;;;;;J;00:00:00
