Numéro du groupe;Femmes;Hommes;Enfants;WCHR;WCHB;Classe;TransitTime
1;2;1;1;;;Y;00:00:00
2;1;;;;;Y;00:00:00
3;;1;;1;;Y;01:00:00
4;4;;;;;Y;00:00:00
5;1;;;;;Y;01:55:00
6;1;1;;;;Y;00:00:00
7;;1;;;1;Y;00:00:00
8;;1;;;;Y;00:00:00
9;1;;;;;Y;00:00:00
10;1;;;1;;Y;00:00:00
11;;3;2;;;Y;01:00:00
12;;;;1;;Y;00:00:00
13;;1;;;;Y;00:00:00
14;;1;;;;Y;00:00:00
15;2;;;;;Y;00:00:00
16;;1;;;;Y;04:15:00
17;1;;;;1;Y;00:00:00
18;1;1;;;;Y;00:00:00
19;1;;2;;;Y;00:00:00
20;1;;;;;Y;00:00:00
21;1;;;;;Y;01:55:00
22;1;;;;;Y;00:00:00
23;;1;;;;Y;02:45:00
24;2;;;;;Y;01:55:00
25;1;;;;;Y;00:00:00
26;1;;;;;Y;00:00:00
27;;1;;;;Y;00:00:00
28;2;;;;;Y;00:00:00
29;1;;;;;Y;00:00:00
30;;1;;;;Y;01:00:00
31;1;1;;;;Y;00:00:00
32;1;;;;;Y;00:00:00
33;;1;;;;Y;00:00:00
34;;1;;;;Y;04:15:00
35;;1;;;;Y;00:00:00
36;;2;1;;;Y;01:55:00
37;;1;1;;;Y;01:00:00
38;1;;;;;Y;00:00:00
39;1;;;;;Y;00:00:00
40;;1;;;;Y;00:00:00
41;;1;;;;Y;00:00:00
42;1;;;;;Y;00:00:00
43;1;;;;;Y;00:00:00
44;;1;;;;Y;00:00:00
45;;1;;;;Y;00:00:00
46;2;1;;;;Y;01:00:00
47;;1;;;;Y;00:00:00
48;;;;;1;Y;00:00:00
49;1;;;;;Y;02:45:00
50;1;;;;;Y;00:00:00
51;;1;;;;Y;00:00:00
52;3;;;;;Y;00:00:00
53;;1;;;;Y;00:00:00
54;1;;;;;Y;01:55:00
55;;1;;;;Y;01:00:00
56;;1;;;;Y;00:00:00
57;;1;;;;Y;00:00:00
58;;1;;;;Y;00:00:00
59;2;1;;;;Y;00:00:00
60;;1;1;;;Y;02:45:00
61;1;;;;;Y;00:00:00
62;;1;;;;Y;00:00:00
63;1;;;;;Y;00:00:00
64;;1;;;;Y;00:00:00
65;1;;;;;Y;00:00:00
66;1;;;;;Y;00:00:00
67;2;;;;;Y;00:00:00
68;;1;;;;Y;00:00:00
69;1;;;;;Y;00:00:00
70;;1;;;;Y;01:00:00
71;;1;;;;Y;00:00:00
72;2;;;;;Y;00:00:00
73;1;;;;;Y;00:00:00
74;2;;;;;Y;00:00:00
75;;1;;;;Y;00:00:00
76;;1;;;;Y;00:00:00
77;1;;;;;Y;01:55:00
78;;1;;;;Y;00:00:00
79;;1;;;;Y;01:55:00
