Numéro du groupe;Femmes;Hommes;Enfants;WCHR;WCHB;Classe;TransitTime
1;1;1;;;;J;00:00:00
2;1;1;;;;J;00:00:00
3;;1;;;;J;00:00:00
4;1;;1;;;J;01:45:00
5;;1;;;;J;00:00:00
6;2;;;;;Y;03:30:00
7;1;;;;;Y;00:00:00
8;1;1;3;;;Y;01:45:00
9;2;1;1;;;Y;00:00:00
10;;1;;;;Y;00:00:00
11;;1;;;;Y;00:00:00
12;4;;;;;Y;00:00:00
13;2;;1;;;Y;01:45:00
14;;2;;;;Y;00:00:00
15;1;;;;;Y;01:10:00
16;1;;;;;Y;01:45:00
17;;1;;;;Y;00:00:00
18;;1;;;;Y;00:00:00
19;1;;;;;Y;01:45:00
20;1;;;;;Y;00:00:00
21;1;;;;;Y;00:00:00
22;1;1;1;;;Y;00:00:00
23;2;;;;;Y;01:45:00
24;1;;;;;Y;00:00:00
25;1;1;;;;Y;00:00:00
26;11;;;;;Y;00:00:00
27;;3;;;;Y;01:45:00
28;;1;;;;Y;03:30:00
29;;1;;;;Y;07:45:00
30;;1;;;;Y;01:10:00
31;2;;1;;;Y;01:10:00
32;1;;;;;Y;01:10:00
33;1;1;;;;Y;00:00:00
34;2;1;1;;;Y;00:00:00
35;;1;;;;Y;00:00:00
36;1;;;;;Y;00:00:00
37;1;;;;;Y;00:00:00
38;1;2;;;;Y;00:00:00
39;2;;;;;Y;01:45:00
40;;1;;;;J;00:00:00
41;3;2;;;;Y;00:00:00
42;;3;;;;Y;03:30:00
43;;4;;;;Y;01:45:00
44;1;;;;;Y;03:30:00
45;;1;;;;Y;00:00:00
46;;1;;;;Y;00:00:00
47;1;;;;;Y;00:00:00
48;1;;;;;J;00:00:00
49;1;;;;;J;00:00:00
50;1;;;;;Y;00:00:00
51;1;;2;;;Y;00:00:00
52;;1;;;;Y;00:00:00
53;;2;;;;Y;00:00:00
54;3;3;3;;;Y;00:00:00
55;;2;;;;Y;03:30:00
56;;1;;;;Y;00:00:00
57;2;;;;;Y;00:00:00
58;1;;;;;Y;03:30:00
59;;2;;;;Y;01:10:00
60;1;;;;;Y;01:10:00
61;1;;1;;;J;03:30:00
62;;1;;;;Y;00:00:00
63;;1;;;;Y;01:10:00
64;;1;;;;Y;00:00:00
65;;1;;;;Y;00:00:00
66;;1;;;;Y;00:00:00
67;;1;;;;Y;00:00:00
68;;1;;;;Y;01:45:00
69;1;;2;;;Y;01:45:00
70;1;;;;;Y;01:10:00
71;;1;;;;Y;00:00:00
72;;1;;;;Y;00:00:00
73;1;;;;;Y;00:00:00
74;1;;;;;Y;00:00:00
75;1;;;;;Y;00:00:00
76;1;;;;;Y;00:00:00
77;1;1;2;;;Y;00:00:00
78;1;;1;;;Y;00:00:00
79;1;1;;;;Y;00:00:00
80;;1;;;;Y;01:45:00
81;2;;1;;;Y;00:00:00
82;1;;;;;Y;00:00:00
83;;1;;;;Y;00:00:00
84;;1;;;;Y;00:00:00
